Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","108","Kazakhstan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","18320","X","Figure from international organizations"
"FBS","Food Balances (2010-)","108","Kazakhstan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","18551.43","X","Figure from international organizations"
"FBS","Food Balances (2010-)","113","Kyrgyzstan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","6304","X","Figure from international organizations"
"FBS","Food Balances (2010-)","113","Kyrgyzstan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","6415.85","X","Figure from international organizations"
"FBS","Food Balances (2010-)","208","Tajikistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","9100.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","208","Tajikistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","9321.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","213","Turkmenistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","5851","X","Figure from international organizations"
"FBS","Food Balances (2010-)","213","Turkmenistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","5942.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","235","Uzbekistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","32476","X","Figure from international organizations"
"FBS","Food Balances (2010-)","235","Uzbekistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","32981.72","X","Figure from international organizations"
