Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","29","Burundi","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","11175.37","X","Figure from international organizations"
"FBS","Food Balances (2010-)","29","Burundi","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11530.58","X","Figure from international organizations"
"FBS","Food Balances (2010-)","45","Comoros","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","832","X","Figure from international organizations"
"FBS","Food Balances (2010-)","45","Comoros","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","850.89","X","Figure from international organizations"
"FBS","Food Balances (2010-)","72","Djibouti","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","959","X","Figure from international organizations"
"FBS","Food Balances (2010-)","72","Djibouti","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","973.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","238","Ethiopia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","109224","X","Figure from international organizations"
"FBS","Food Balances (2010-)","238","Ethiopia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","112078.73","X","Figure from international organizations"
"FBS","Food Balances (2010-)","114","Kenya","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","51393","X","Figure from international organizations"
"FBS","Food Balances (2010-)","114","Kenya","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","52573.97","X","Figure from international organizations"
"FBS","Food Balances (2010-)","129","Madagascar","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","26262","X","Figure from international organizations"
"FBS","Food Balances (2010-)","129","Madagascar","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","26969.31","X","Figure from international organizations"
"FBS","Food Balances (2010-)","130","Malawi","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","18143","X","Figure from international organizations"
"FBS","Food Balances (2010-)","130","Malawi","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","18628.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","137","Mauritius","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","1267","X","Figure from international organizations"
"FBS","Food Balances (2010-)","137","Mauritius","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1269.67","X","Figure from international organizations"
"FBS","Food Balances (2010-)","144","Mozambique","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","29496","X","Figure from international organizations"
"FBS","Food Balances (2010-)","144","Mozambique","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","30366.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","184","Rwanda","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","12302","X","Figure from international organizations"
"FBS","Food Balances (2010-)","184","Rwanda","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","12626.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","196","Seychelles","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","97","X","Figure from international organizations"
"FBS","Food Balances (2010-)","196","Seychelles","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","97.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","277","South Sudan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11062.11","X","Figure from international organizations"
"FBS","Food Balances (2010-)","226","Uganda","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","42729","X","Figure from international organizations"
"FBS","Food Balances (2010-)","226","Uganda","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","44269.59","X","Figure from international organizations"
"FBS","Food Balances (2010-)","215","United Republic of Tanzania","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","56313","X","Figure from international organizations"
"FBS","Food Balances (2010-)","215","United Republic of Tanzania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","58005.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","251","Zambia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","17352","X","Figure from international organizations"
"FBS","Food Balances (2010-)","251","Zambia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","17861.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","181","Zimbabwe","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","14438.8","X","Figure from international organizations"
"FBS","Food Balances (2010-)","181","Zimbabwe","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","14645.47","X","Figure from international organizations"
