Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","57","Belarus","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","9453","X","Figure from international organizations"
"FBS","Food Balances (2010-)","57","Belarus","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","9452.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","27","Bulgaria","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","7052","X","Figure from international organizations"
"FBS","Food Balances (2010-)","27","Bulgaria","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","7000.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","167","Czechia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","10666","X","Figure from international organizations"
"FBS","Food Balances (2010-)","167","Czechia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10689.21","X","Figure from international organizations"
"FBS","Food Balances (2010-)","97","Hungary","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","9707","X","Figure from international organizations"
"FBS","Food Balances (2010-)","97","Hungary","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","9684.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","173","Poland","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","37922","X","Figure from international organizations"
"FBS","Food Balances (2010-)","173","Poland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","37887.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","146","Republic of Moldova","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","4052","X","Figure from international organizations"
"FBS","Food Balances (2010-)","146","Republic of Moldova","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4043.26","X","Figure from international organizations"
"FBS","Food Balances (2010-)","183","Romania","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","19506","X","Figure from international organizations"
"FBS","Food Balances (2010-)","183","Romania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","19364.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","185","Russian Federation","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","145734","X","Figure from international organizations"
"FBS","Food Balances (2010-)","185","Russian Federation","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","145872.26","X","Figure from international organizations"
"FBS","Food Balances (2010-)","199","Slovakia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","5453","X","Figure from international organizations"
"FBS","Food Balances (2010-)","199","Slovakia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","5457.01","X","Figure from international organizations"
"FBS","Food Balances (2010-)","230","Ukraine","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","44246","X","Figure from international organizations"
"FBS","Food Balances (2010-)","230","Ukraine","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","43993.64","X","Figure from international organizations"
