Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","9","Argentina","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","44361","X","Figure from international organizations"
"FBS","Food Balances (2010-)","9","Argentina","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","44780.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","11353","X","Figure from international organizations"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11513.1","X","Figure from international organizations"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","209469","X","Figure from international organizations"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","211049.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","40","Chile","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","18729","X","Figure from international organizations"
"FBS","Food Balances (2010-)","40","Chile","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","18952.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","44","Colombia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","49661","X","Figure from international organizations"
"FBS","Food Balances (2010-)","44","Colombia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","50339.44","X","Figure from international organizations"
"FBS","Food Balances (2010-)","58","Ecuador","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","17084","X","Figure from international organizations"
"FBS","Food Balances (2010-)","58","Ecuador","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","17373.66","X","Figure from international organizations"
"FBS","Food Balances (2010-)","91","Guyana","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","779.01","X","Figure from international organizations"
"FBS","Food Balances (2010-)","91","Guyana","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","782.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","169","Paraguay","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","6956","X","Figure from international organizations"
"FBS","Food Balances (2010-)","169","Paraguay","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","7044.64","X","Figure from international organizations"
"FBS","Food Balances (2010-)","170","Peru","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","31989","X","Figure from international organizations"
"FBS","Food Balances (2010-)","170","Peru","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","32510.45","X","Figure from international organizations"
"FBS","Food Balances (2010-)","207","Suriname","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","576","X","Figure from international organizations"
"FBS","Food Balances (2010-)","207","Suriname","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","581.37","X","Figure from international organizations"
"FBS","Food Balances (2010-)","234","Uruguay","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","3449","X","Figure from international organizations"
"FBS","Food Balances (2010-)","234","Uruguay","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","3461.73","X","Figure from international organizations"
"FBS","Food Balances (2010-)","236","Venezuela (Bolivarian Republic of)","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","28887","X","Figure from international organizations"
"FBS","Food Balances (2010-)","236","Venezuela (Bolivarian Republic of)","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","28515.83","X","Figure from international organizations"
