Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","20","Botswana","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2254","X","Figure from international organizations"
"FBS","Food Balances (2010-)","20","Botswana","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2303.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","209","Eswatini","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","1136","X","Figure from international organizations"
"FBS","Food Balances (2010-)","209","Eswatini","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1148.13","X","Figure from international organizations"
"FBS","Food Balances (2010-)","122","Lesotho","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2108","X","Figure from international organizations"
"FBS","Food Balances (2010-)","122","Lesotho","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2125.27","X","Figure from international organizations"
"FBS","Food Balances (2010-)","147","Namibia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2448","X","Figure from international organizations"
"FBS","Food Balances (2010-)","147","Namibia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2494.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","202","South Africa","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","57793","X","Figure from international organizations"
"FBS","Food Balances (2010-)","202","South Africa","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","58558.27","X","Figure from international organizations"
