Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","37172","X","Figure from international organizations"
"FBS","Food Balances (2010-)","2","Afghanistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","38041.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","16","Bangladesh","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","161377","X","Figure from international organizations"
"FBS","Food Balances (2010-)","16","Bangladesh","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","163046.16","X","Figure from international organizations"
"FBS","Food Balances (2010-)","18","Bhutan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","763.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","100","India","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","1352642.28","X","Figure from international organizations"
"FBS","Food Balances (2010-)","100","India","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1366417.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","81800","X","Figure from international organizations"
"FBS","Food Balances (2010-)","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","82913.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","132","Maldives","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","516","X","Figure from international organizations"
"FBS","Food Balances (2010-)","132","Maldives","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","530.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","149","Nepal","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","28096","X","Figure from international organizations"
"FBS","Food Balances (2010-)","149","Nepal","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","28608.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","165","Pakistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","212228","X","Figure from international organizations"
"FBS","Food Balances (2010-)","165","Pakistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","216565.32","X","Figure from international organizations"
"FBS","Food Balances (2010-)","38","Sri Lanka","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","21229","X","Figure from international organizations"
"FBS","Food Balances (2010-)","38","Sri Lanka","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","21323.73","X","Figure from international organizations"
