Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","3","Albania","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2883","X","Figure from international organizations"
"FBS","Food Balances (2010-)","3","Albania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2880.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","3324","X","Figure from international organizations"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","3301","X","Figure from international organizations"
"FBS","Food Balances (2010-)","98","Croatia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","4156","X","Figure from international organizations"
"FBS","Food Balances (2010-)","98","Croatia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4130.3","X","Figure from international organizations"
"FBS","Food Balances (2010-)","84","Greece","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","10522","X","Figure from international organizations"
"FBS","Food Balances (2010-)","84","Greece","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10473.45","X","Figure from international organizations"
"FBS","Food Balances (2010-)","106","Italy","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","60627","X","Figure from international organizations"
"FBS","Food Balances (2010-)","106","Italy","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","60550.07","X","Figure from international organizations"
"FBS","Food Balances (2010-)","134","Malta","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","439","X","Figure from international organizations"
"FBS","Food Balances (2010-)","134","Malta","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","440.37","X","Figure from international organizations"
"FBS","Food Balances (2010-)","273","Montenegro","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","628","X","Figure from international organizations"
"FBS","Food Balances (2010-)","273","Montenegro","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","627.99","X","Figure from international organizations"
"FBS","Food Balances (2010-)","154","North Macedonia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2083","X","Figure from international organizations"
"FBS","Food Balances (2010-)","154","North Macedonia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2083.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","174","Portugal","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","10256","X","Figure from international organizations"
"FBS","Food Balances (2010-)","174","Portugal","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10226.19","X","Figure from international organizations"
"FBS","Food Balances (2010-)","272","Serbia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","8803","X","Figure from international organizations"
"FBS","Food Balances (2010-)","272","Serbia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","8772.24","X","Figure from international organizations"
"FBS","Food Balances (2010-)","198","Slovenia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2078","X","Figure from international organizations"
"FBS","Food Balances (2010-)","198","Slovenia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2078.65","X","Figure from international organizations"
"FBS","Food Balances (2010-)","203","Spain","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","46693","X","Figure from international organizations"
"FBS","Food Balances (2010-)","203","Spain","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","46736.78","X","Figure from international organizations"
